Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  O8+		90.24	97.68	1.89	1.89	10.10	10.10	2331.02	16.00	8.00		0.00
  N4+		123.48	46.30	2.48	2.48	4.80	4.80	1762.08	14.00	4.00		0.00
  N5+		109.01	59.69	2.23	2.23	6.18	6.18	1970.07	14.00	5.00		0.00
  N6+		98.42	73.23	2.04	2.04	7.58	7.58	2158.10	14.00	6.00		0.00
  N7+		90.23	87.03	1.89	1.89	9.00	9.00	2331.02	14.00	7.00		0.00
 Ne7+		110.15	78.21	2.24	2.24	8.12	8.12	1950.27	20.00	7.00		0.00
 Ne8+		102.35	91.12	2.10	2.10	9.45	9.45	2084.93	20.00	8.00		0.00
 Mg5+		146.10	49.14	2.88	2.88	5.12	5.12	1504.67	24.00	5.00		0.00
 Mg6+		132.27	61.52	2.63	2.63	6.40	6.40	1648.28	24.00	6.00		0.00
 Mg7+		121.61	74.28	2.45	2.45	7.72	7.72	1780.35	24.00	7.00		0.00
 Mg8+		113.08	87.06	2.29	2.29	9.04	9.04	1903.27	24.00	8.00		0.00
 Mg9+		106.07	99.73	2.17	2.17	10.35	10.35	2018.72	24.00	9.00		0.00
Mg10+		100.16	112.58	2.07	2.07	11.68	11.68	2127.92	24.00	10.00		0.00
 Si5+		159.38	45.75	3.11	3.11	4.79	4.79	1393.05	28.00	5.00		0.00
 Si6+		144.27	57.57	2.84	2.84	6.01	6.01	1526.01	28.00	6.00		0.00
 Si7+		132.65	69.73	2.64	2.64	7.27	7.27	1648.28	28.00	7.00		0.00
 Si8+		123.36	82.20	2.47	2.47	8.56	8.56	1762.08	28.00	8.00		0.00
 Si9+		115.74	94.86	2.34	2.34	9.86	9.86	1868.97	28.00	9.00		0.00
Si10+		109.34	107.28	2.23	2.23	11.15	11.15	1970.07	28.00	10.00		0.00
Si11+		103.86	119.87	2.13	2.13	12.45	12.45	2066.23	28.00	11.00		0.00
  S5+		171.51	42.93	3.32	3.32	4.50	4.50	1303.08	32.00	5.00		0.00
  S6+		155.26	54.23	3.03	3.03	5.68	5.68	1427.45	32.00	6.00		0.00
  S7+		142.77	65.86	2.82	2.82	6.88	6.88	1541.82	32.00	7.00		0.00
  S8+		132.81	77.80	2.64	2.64	8.12	8.12	1648.28	32.00	8.00		0.00
  S9+		124.62	90.04	2.50	2.50	9.38	9.38	1748.26	32.00	9.00		0.00
 S10+		117.74	102.54	2.37	2.37	10.67	10.67	1842.83	32.00	10.00		0.00
 S11+		111.87	114.79	2.27	2.27	11.94	11.94	1932.78	32.00	11.00		0.00
 Ca6+		175.66	47.21	3.39	3.39	4.97	4.97	1276.75	40.00	6.00		0.00
 Ca7+		161.55	57.68	3.14	3.14	6.06	6.06	1379.05	40.00	7.00		0.00
 Ca8+		150.30	68.53	2.94	2.94	7.19	7.19	1474.27	40.00	8.00		0.00
 Ca9+		141.07	79.75	2.78	2.78	8.35	8.35	1563.69	40.00	9.00		0.00
Ca10+		133.33	91.23	2.65	2.65	9.54	9.54	1648.28	40.00	10.00		0.00
Ca11+		126.71	102.95	2.53	2.53	10.76	10.76	1728.73	40.00	11.00		0.00
Ca12+		121.00	114.88	2.43	2.43	11.99	11.99	1805.60	40.00	12.00		0.00
 Fe5+		232.98	28.73	4.36	4.36	3.08	3.08	985.04	56.00	5.00		0.00
