Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Ca7+		149.43	69.03	2.99	2.99	6.90	6.90	1481.69	40.00	7.00		0.00
Ca8+		140.15	81.85	2.80	2.80	8.18	8.18	1583.99	40.00	8.00		0.00
Ca9+		132.52	95.00	2.65	2.65	9.50	9.50	1680.08	40.00	9.00		0.00
Ca10+		126.12	108.44	2.52	2.52	10.84	10.84	1770.96	40.00	10.00		0.00
Ca11+		120.65	122.14	2.41	2.41	12.21	12.21	1857.40	40.00	11.00		0.00
Fe5+		207.32	35.17	4.15	4.15	3.52	3.52	1058.35	56.00	5.00		0.00
Fe6+		189.47	44.62	3.79	3.79	4.46	4.46	1159.37	56.00	6.00		0.00
Fe7+		175.76	54.69	3.52	3.52	5.47	5.47	1252.26	56.00	7.00		0.00
Fe8+		164.81	65.27	3.30	3.30	6.53	6.53	1338.72	56.00	8.00		0.00
Fe9+		155.82	76.18	3.12	3.12	7.62	7.62	1419.93	56.00	9.00		0.00
Fe10+		148.28	87.58	2.97	2.97	8.76	8.76	1496.73	56.00	10.00		0.00
Fe11+		141.83	99.50	2.84	2.84	9.95	9.95	1569.79	56.00	11.00		0.00
Fe12+		135.84	112.57	2.72	2.72	11.26	11.26	1639.59	56.00	12.00		0.00
Fe13+		130.96	125.11	2.62	2.62	12.51	12.51	1706.54	56.00	13.00		0.00
Step : 4	Numberions : 57
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		66.11	14.69	1.50	1.50	1.50	1.50	3296.56	1.00	1.00		0.00
3He1+		114.91	13.71	2.30	2.30	1.50	1.50	1903.27	3.00	1.00		0.00
3He2+		80.90	28.16	1.62	1.62	2.82	2.82	2691.63	3.00	2.00		0.00
He1+		133.72	13.48	2.67	2.67	1.50	1.50	1648.28	4.00	1.00		0.00
He2+		95.30	27.87	1.91	1.91	2.79	2.79	2331.02	4.00	2.00		0.00
C3+		132.79	35.93	2.66	2.66	3.59	3.59	1648.28	12.00	3.00		0.00
C4+		115.17	49.83	2.30	2.30	4.98	4.98	1903.27	12.00	4.00		0.00
C5+		103.27	63.76	2.07	2.07	6.38	6.38	2127.92	12.00	5.00		0.00
C6+		94.55	77.96	1.89	1.89	7.80	7.80	2331.02	12.00	6.00		0.00
O4+		132.26	45.85	2.65	2.65	4.59	4.59	1648.28	16.00	4.00		0.00
O5+		118.55	59.39	2.37	2.37	5.94	5.94	1842.83	16.00	5.00		0.00
O6+		108.52	73.03	2.17	2.17	7.30	7.30	2018.72	16.00	6.00		0.00
O7+		100.78	86.92	2.02	2.02	8.69	8.69	2180.47	16.00	7.00		0.00
O8+		94.57	101.04	1.89	1.89	10.10	10.10	2331.02	16.00	8.00		0.00
N4+		124.09	47.98	2.48	2.48	4.80	4.80	1762.08	14.00	4.00		0.00
N5+		111.26	61.79	2.23	2.23	6.18	6.18	1970.07	14.00	5.00		0.00
N6+		101.86	75.75	2.04	2.04	7.58	7.58	2158.10	14.00	6.00		0.00
N7+		94.59	89.97	1.89	1.89	9.00	9.00	2331.02	14.00	7.00		0.00
Ne7+		112.16	81.15	2.24	2.24	8.12	8.12	1950.27	20.00	7.00		0.00
Ne8+		105.25	94.48	2.10	2.10	9.45	9.45	2084.93	20.00	8.00		0.00
Mg5+		143.83	51.24	2.88	2.88	5.12	5.12	1504.67	24.00	5.00		0.00
Mg6+		131.65	64.04	2.63	2.63	6.40	6.40	1648.28	24.00	6.00		0.00
Mg7+		122.25	77.22	2.45	2.45	7.72	7.72	1780.35	24.00	7.00		0.00
Mg8+		114.72	90.42	2.29	2.29	9.04	9.04	1903.27	24.00	8.00		0.00
Mg9+		108.51	103.51	2.17	2.17	10.35	10.35	2018.72	24.00	9.00		0.00
Mg10+		103.28	116.78	2.07	2.07	11.68	11.68	2127.92	24.00	10.00		0.00
Si5+		155.41	47.85	3.11	3.11	4.79	4.79	1393.05	28.00	5.00		0.00
Si6+		142.14	60.09	2.84	2.84	6.01	6.01	1526.01	28.00	6.00		0.00
Si7+		131.92	72.67	2.64	2.64	7.27	7.27	1648.28	28.00	7.00		0.00
Si8+		123.74	85.56	2.47	2.47	8.56	8.56	1762.08	28.00	8.00		0.00
Si9+		117.02	98.64	2.34	2.34	9.86	9.86	1868.97	28.00	9.00		0.00
Si10+		111.36	111.48	2.23	2.23	11.15	11.15	1970.07	28.00	10.00		0.00
Si11+		106.52	124.49	2.13	2.13	12.45	12.45	2066.23	28.00	11.00		0.00
S5+		165.95	45.03	3.32	3.32	4.50	4.50	1303.08	32.00	5.00		0.00
S6+		151.72	56.75	3.03	3.03	5.68	5.68	1427.45	32.00	6.00		0.00
S7+		140.76	68.80	2.82	2.82	6.88	6.88	1541.82	32.00	7.00		0.00
S8+		132.00	81.16	2.64	2.64	8.12	8.12	1648.28	32.00	8.00		0.00
S9+		124.80	93.82	2.50	2.50	9.38	9.38	1748.26	32.00	9.00		0.00
S10+		118.74	106.74	2.37	2.37	10.67	10.67	1842.83	32.00	10.00		0.00
S11+		113.56	119.41	2.27	2.27	11.94	11.94	1932.78	32.00	11.00		0.00
Ca6+		169.30	49.73	3.39	3.39	4.97	4.97	1276.75	40.00	6.00		0.00
Ca7+		156.99	60.62	3.14	3.14	6.06	6.06	1379.05	40.00	7.00		0.00
Ca8+		147.16	71.89	2.94	2.94	7.19	7.19	1474.27	40.00	8.00		0.00
Ca9+		139.08	83.53	2.78	2.78	8.35	8.35	1563.69	40.00	9.00		0.00
Ca10+		132.30	95.43	2.65	2.65	9.54	9.54	1648.28	40.00	10.00		0.00
Ca11+		126.50	107.57	2.53	2.53	10.76	10.76	1728.73	40.00	11.00		0.00
Ca12+		121.48	119.92	2.43	2.43	11.99	11.99	1805.60	40.00	12.00		0.00
Fe5+		218.12	30.83	4.36	4.36	3.08	3.08	985.04	56.00	5.00		0.00
Fe6+		199.20	39.07	3.98	3.98	3.91	3.91	1079.05	56.00	6.00		0.00
Fe7+		184.67	47.76	3.69	3.69	4.78	4.78	1165.51	56.00	7.00		0.00
Fe8+		173.08	57.05	3.46	3.46	5.71	5.71	1245.98	56.00	8.00		0.00
Fe9+		163.56	66.67	3.27	3.27	6.67	6.67	1321.56	56.00	9.00		0.00
Fe10+		155.56	76.54	3.11	3.11	7.65	7.65	1393.05	56.00	10.00		0.00
Fe11+		148.72	86.82	2.97	2.97	8.68	8.68	1461.04	56.00	11.00		0.00
Fe12+		142.80	97.56	2.86	2.86	9.76	9.76	1526.01	56.00	12.00		0.00
Fe13+		137.21	109.38	2.74	2.74	10.94	10.94	1588.32	56.00	13.00		0.00
Fe14+		132.62	120.64	2.65	2.65	12.06	12.06	1648.28	56.00	14.00		0.00
Step : 5	Numberions : 63
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		69.46	13.31	1.50	1.50	1.50	1.50	3068.20	1.00	1.00		0.00
3He1+		120.75	12.38	2.42	2.42	1.50	1.50	1771.42	3.00	1.00		0.00
3He2+		84.97	25.45	1.70	1.70	2.55	2.55	2505.17	3.00	2.00		0.00
He1+		140.36	12.16	2.81	2.81	1.50	1.50	1534.10	4.00	1.00		0.00
He2+		99.87	25.17	2.00	2.00	2.52	2.52	2169.54	4.00	2.00		0.00
C3+		139.40	32.13	2.79	2.79	3.21	3.21	1534.10	12.00	3.00		0.00
C4+		120.83	44.67	2.42	2.42	4.47	4.47	1771.42	12.00	4.00		0.00
C5+		108.29	57.26	2.17	2.17	5.73	5.73	1980.51	12.00	5.00		0.00
C6+		99.10	70.02	1.98	1.98	7.00	7.00	2169.54	12.00	6.00		0.00
O4+		138.79	40.94	2.78	2.78	4.09	4.09	1534.10	16.00	4.00		0.00
O5+		124.33	53.06	2.49	2.49	5.31	5.31	1715.17	16.00	5.00		0.00
O6+		113.76	65.41	2.28	2.28	6.54	6.54	1878.88	16.00	6.00		0.00
O7+		105.59	77.87	2.11	2.11	7.79	7.79	2029.42	16.00	7.00		0.00
O8+		99.05	90.54	1.98	1.98	9.05	9.05	2169.54	16.00	8.00		0.00
N4+		130.19	42.89	2.60	2.60	4.29	4.29	1640.02	14.00	4.00		0.00
N5+		116.67	55.41	2.33	2.33	5.54	5.54	1833.60	14.00	5.00		0.00
N6+		106.76	67.95	2.14	2.14	6.79	6.79	2008.61	14.00	6.00		0.00
N7+		99.11	80.71	1.98	1.98	8.07	8.07	2169.54	14.00	7.00		0.00
Ne7+		117.53	72.62	2.35	2.35	7.26	7.26	1815.17	20.00	7.00		0.00
Ne8+		110.24	84.57	2.20	2.20	8.46	8.46	1940.50	20.00	8.00		0.00
Mg5+		150.85	45.46	3.02	3.02	4.55	4.55	1400.43	24.00	5.00		0.00
Mg6+		138.01	56.86	2.76	2.76	5.69	5.69	1534.10	24.00	6.00		0.00
Mg7+		128.10	68.62	2.56	2.56	6.86	6.86	1657.01	24.00	7.00		0.00
Mg8+		120.16	80.68	2.40	2.40	8.07	8.07	1771.42	24.00	8.00		0.00
Mg9+		113.61	92.57	2.27	2.27	9.26	9.26	1878.88	24.00	9.00		0.00
Mg10+		108.10	104.46	2.16	2.16	10.45	10.45	1980.51	24.00	10.00		0.00
Mg11+		103.38	116.51	2.07	2.07	11.65	11.65	2077.18	24.00	11.00		0.00
Si5+		163.07	42.28	3.26	3.26	4.23	4.23	1296.55	28.00	5.00		0.00
