Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
C1+		305.08	5.03	6.10	6.10	1.50	1.50	618.59	12.00	1.00		0.00
O1+		353.56	4.04	7.07	7.07	1.50	1.50	535.71	16.00	1.00		0.00
N1+		331.39	4.58	6.63	6.63	1.50	1.50	572.70	14.00	1.00		0.00
Ne1+		395.80	3.38	7.92	7.92	1.50	1.50	479.16	20.00	1.00		0.00
Mg1+		433.71	3.12	8.67	8.67	1.50	1.50	437.41	24.00	1.00		0.00
Si1+		486.87	2.67	9.74	9.74	1.50	1.50	404.96	28.00	1.00		0.00
S1+		528.00	2.45	10.56	10.56	1.50	1.50	378.81	32.00	1.00		0.00
Ca1+		603.01	2.13	12.06	12.06	1.50	1.50	338.82	40.00	1.00		0.00
Fe1+		742.13	1.70	14.84	14.84	1.50	1.50	286.35	56.00	1.00		0.00
Step : 11	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		88.77	8.20	1.78	1.78	1.50	1.50	1994.41	1.00	1.00		0.00
3He1+		154.66	7.48	3.09	3.09	1.50	1.50	1151.48	3.00	1.00		0.00
He1+		178.97	7.31	3.58	3.58	1.50	1.50	997.21	4.00	1.00		0.00
C1+		316.42	4.62	6.33	6.33	1.50	1.50	575.74	12.00	1.00		0.00
O1+		367.20	3.69	7.34	7.34	1.50	1.50	498.60	16.00	1.00		0.00
N1+		343.91	4.19	6.88	6.88	1.50	1.50	533.03	14.00	1.00		0.00
Ne1+		410.78	3.11	8.22	8.22	1.50	1.50	445.96	20.00	1.00		0.00
Mg1+		451.01	2.86	9.02	9.02	1.50	1.50	407.11	24.00	1.00		0.00
Si1+		507.69	2.45	10.15	10.15	1.50	1.50	376.91	28.00	1.00		0.00
S1+		551.43	2.24	11.03	11.03	1.50	1.50	352.57	32.00	1.00		0.00
Ca1+		631.37	1.94	12.63	12.63	1.50	1.50	315.34	40.00	1.00		0.00
Fe1+		779.97	1.56	15.60	15.60	1.50	1.50	266.51	56.00	1.00		0.00
Step : 12	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		91.65	7.71	1.83	1.83	1.50	1.50	1856.26	1.00	1.00		0.00
3He1+		159.75	7.00	3.20	3.20	1.50	1.50	1071.71	3.00	1.00		0.00
He1+		184.75	6.84	3.70	3.70	1.50	1.50	928.13	4.00	1.00		0.00
C1+		327.34	4.27	6.55	6.55	1.50	1.50	535.85	12.00	1.00		0.00
O1+		380.43	3.40	7.61	7.61	1.50	1.50	464.06	16.00	1.00		0.00
N1+		355.99	3.86	7.12	7.12	1.50	1.50	496.11	14.00	1.00		0.00
Ne1+		425.36	2.88	8.51	8.51	1.50	1.50	415.07	20.00	1.00		0.00
Mg1+		467.87	2.64	9.36	9.36	1.50	1.50	378.91	24.00	1.00		0.00
Si1+		528.06	2.27	10.56	10.56	1.50	1.50	350.80	28.00	1.00		0.00
S1+		574.45	2.07	11.49	11.49	1.50	1.50	328.14	32.00	1.00		0.00
Ca1+		659.42	1.79	13.19	13.19	1.50	1.50	293.50	40.00	1.00		0.00
Fe1+		817.70	1.44	16.35	16.35	1.50	1.50	248.05	56.00	1.00		0.00
Step : 13	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		93.04	7.49	1.86	1.86	1.50	1.50	1790.80	1.00	1.00		0.00
3He1+		162.20	6.79	3.24	3.24	1.50	1.50	1033.92	3.00	1.00		0.00
He1+		187.54	6.64	3.75	3.75	1.50	1.50	895.40	4.00	1.00		0.00
C1+		332.63	4.11	6.65	6.65	1.50	1.50	516.96	12.00	1.00		0.00
O1+		386.87	3.27	7.74	7.74	1.50	1.50	447.70	16.00	1.00		0.00
N1+		361.85	3.72	7.24	7.24	1.50	1.50	478.61	14.00	1.00		0.00
Ne1+		432.52	2.78	8.65	8.65	1.50	1.50	400.44	20.00	1.00		0.00
Mg1+		476.08	2.54	9.52	9.52	1.50	1.50	365.55	24.00	1.00		0.00
Si1+		538.03	2.18	10.76	10.76	1.50	1.50	338.43	28.00	1.00		0.00
S1+		585.75	1.99	11.72	11.72	1.50	1.50	316.57	32.00	1.00		0.00
Ca1+		673.26	1.72	13.47	13.47	1.50	1.50	283.15	40.00	1.00		0.00
Fe1+		836.42	1.39	16.73	16.73	1.50	1.50	239.31	56.00	1.00		0.00
Step : 14	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		94.39	7.28	1.89	1.89	1.50	1.50	1727.67	1.00	1.00		0.00
3He1+		164.59	6.60	3.29	3.29	1.50	1.50	997.47	3.00	1.00		0.00
He1+		190.25	6.44	3.81	3.81	1.50	1.50	863.83	4.00	1.00		0.00
C1+		337.78	3.97	6.76	6.76	1.50	1.50	498.73	12.00	1.00		0.00
O1+		393.19	3.15	7.86	7.86	1.50	1.50	431.92	16.00	1.00		0.00
N1+		367.57	3.59	7.35	7.35	1.50	1.50	461.74	14.00	1.00		0.00
Ne1+		439.56	2.68	8.79	8.79	1.50	1.50	386.32	20.00	1.00		0.00
Mg1+		484.12	2.46	9.68	9.68	1.50	1.50	352.66	24.00	1.00		0.00
Si1+		547.83	2.11	10.96	10.96	1.50	1.50	326.50	28.00	1.00		0.00
S1+		596.89	1.92	11.94	11.94	1.50	1.50	305.41	32.00	1.00		0.00
