Mass;Q;Ebeam;Paps;FSR;"FSR b";DCR;"DCR b";TCR;"TCR b";MSS;"MSS b";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;
16;7;10;10,5;843;4,6;402;0,03;351;0;677;3,9;143,5;0,418654580152672;0,87319949249944;0,479448950381679;;838,4;401,97;351;;0,0266158671940762;0,0637899015843956;0,0290867731148285;;0,026658927310382;0,0637921208098944;0,0291399102225642;;1,00161783630764;1,00003478960531;1,001826847809;;0,00592066985201522;0,0123489056495001;0,00678043208095316;;0,0063788791086381;0,00876988066903269;0,00704181032203254
16;7;10;9,6;843;2,9;389;0;339;0;660;3,9;137,2;0,40352339007261;0,87146529562982;0,46304011427211;;840,1;389;339;;0,0259644239497872;0,0647502033647488;0,0283969654426021;;0,0259901800088613;0,0647502033647488;0,0284279727664551;;1,00099197498561;1;1,00109192385066;;0,00570668250975454;0,0123243804021717;0,00654837609526406;;0,00550683490583913;0,0087146529562982;0,00612967379213842
16;7;10;0;822;1,4;240;0;147;0;332;3,8;70;0,179137216670729;0,6125;0,2924689251767;;820,6;240;147;;0,0160438771647104;0,0641500925564414;0,0214626905184986;;0,0160480350361312;0,0641500925564414;0,0214709748314655;;1,00025915627364;1;1,00038598669443;;0,00253338281341512;0,00866205806953521;0,00413613520557571;;0,00250522997257738;0,006125;0,00368411994385936
16;7;7;15,9;846;31,8;390;0,94;366;0;697;2,7;160,3;0,449521002210759;0,940728936410836;0,477843281748956;;814,2;389,06;366;;0,0282892673996951;0,0685024967681069;0,0294504126254513;;0,0286298611323336;0,068582676242644;0,0298675220976472;;1,0120396802019;1,0011704606156;1,01416311131191;;0,00635718697898002;0,0133039162038902;0,00675772449738242;;0,0140493569785173;0,0105666458012127;0,0158690992136334
16;7;7;15,15;1254;24,4;602;0,5;563;0;1086;2,9;155,05;0,457872478854912;0,935993349958437;0,489183474300586;;1229,6;601,5;563;;0,0232996883320898;0,0548871266951487;0,0243404198653933;;0,0234444501518273;0,0549091806524176;0,0245120650745605;;1,00621303674427;1,00040180564363;1,00705185901133;;0,00647529469434005;0,0132369448980225;0,00691809903844679;;0,0106143559979412;0,00977417816509522;0,0115735459433379
16;7;7;14,4;1634;16,2;768;0,4;705;0;1397;2,7;149,8;0,435776981085425;0,918447107868682;0,474471504512301;;1617,8;767,6;705;;0,0196658725628347;0,0479109196776996;0,020795091894359;;0,0197255516589206;0,0479228708275158;0,0208693164979601;;1,00303465284315;1,00024944521826;1,00356933280113;;0,00616281716821011;0,0129888035627023;0,00671004036640863;;0,00793784225855228;0,00944608481876857;0,0088141115285132
16;7;7;12,9;1585;12,3;736;0,14;673;0;1323;2,4;139,3;0,427926495835188;0,914576142200962;0,467895975074712;;1572,7;735,86;673;;0,0197112683928533;0,048780770681662;0,020897741420268;;0,0197574138615669;0,0487852037965722;0,020952475279941;;1,0023410704879;1,00009087832866;1,00261912799916;;0,00605179454108917;0,0129340598412347;0,00661704833730442;;0,00721578547343682;0,00924212077281628;0,0077258560298397
16;7;7;11,7;1444;6,1;637;0,05;580;0;1173;3,2;130,9;0,403366019890117;0,910589528220425;0,442972390291397;;1437,9;636,95;580;;0,0198413305047144;0,052262761234267;0,0210839995353956;;0,019865509361259;0,0522647164926135;0,0211125853926002;;1,00121861064402;1,00003741207507;1,00135580809308;;0,0057044569592906;0,0128776806056424;0,00626457562106922;;0,0057897101030602;0,00914577234746996;0,00621929507335627
16;7;7;10,5;1283;4,2;541;0,02;492;0;1010;2,35;122,5;0,384735689709102;0,909460608525269;0,423037222395996;;1278,8;540,98;492;;0,0204109569464465;0,0566574068654419;0,0216968210585779;;0,0204295738566178;0,0566584045077209;0,0217185577048455;;1,00091210374017;1,00001760832933;1,00100183553199;;0,00544098430315579;0,0128617152702052;0,00598264977301061;;0,00524743090601952;0,00911340785530134;0,00564995995954984
16;7;7;9,6;1156;2,1;463;0;419;0;875;3,1;116,2;0,363116387901898;0,904967602591793;0,401247941762718;;1153,9;463;419;;0,0207112021542552;0,0610196647893037;0,0220739378782559;;0,0207212405451828;0,0610196647893037;0,0220854383498304;;1,00048468412663;1;1,00052099773216;;0,00513524120490794;0,0127981745709358;0,00567450281115125;;0,00445441321535658;0,00904967602591793;0,00484365744010074
